,ID,DateTime,UserID,UserAction
3,1669347,2020-06-03 12:18:43.197,24,Login
11,1669355,2020-06-03 12:18:44.993,24,Open Pathway Page
17,1669361,2020-06-03 12:18:46.163,24,Open Pathway Page
33,1669377,2020-06-03 12:19:26.240,24,Open PhaseWaypoint page
34,1669378,2020-06-03 12:19:26.240,24,Open PhaseWaypoint page
40,1669384,2020-06-03 12:19:26.740,24,Open PhaseWaypoint Page
42,1669386,2020-06-03 12:19:26.740,24,Open Notification Page
56,1669400,2020-06-03 12:19:28.497,24,Open Notification Page
58,1669402,2020-06-03 12:20:41.943,24,Open PhaseWaypoint page
69,1669413,2020-06-03 12:21:12.433,24,Open File Page
70,1669414,2020-06-03 12:21:23.667,24,Open Department Page
71,1669415,2020-06-03 12:21:25.840,24,Open Waypoint Page
72,1669416,2020-06-03 12:21:28.213,24,Open Waypoint Page
73,1669417,2020-06-03 12:21:35.027,24,Open Criteria Page
74,1669418,2020-06-03 12:21:49.760,24,Open Criteria Page
75,1669419,2020-06-03 12:21:53.870,24,Open Criteria Page
